"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1388131524495613958","https://twitter.com/saskvaccine/status/1388131524495613958","Currently Booking: Residents 40 years and older (born on this day in 1981 or earlier) provincially (online and call centre booking available) c/o: https://t.co/ujWWhpzO3i #sk #sask #GetVaccinatedSK (04/30 08:01 AM CST)","2021-04-30 14:02 +0000","487.0","21.0","0.043121149897330596","0.0","0.0","3.0","10.0","0.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387768739844722694","https://twitter.com/saskvaccine/status/1387768739844722694","Currently Booking: Residents 42 years and older (born on this day in 1979 or earlier) provincially (online and call centre booking available) c/o: https://t.co/ujWWhpRprS #sk #sask #GetVaccinatedSK (04/29 08:00 AM CST)","2021-04-29 14:00 +0000","384.0","12.0","0.03125","0.0","0.0","0.0","5.0","1.0","1.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387527385587671041","https://twitter.com/saskvaccine/status/1387527385587671041","Currently Booking: Residents 42 years and older (born on this day in 1979 or earlier) provincially (online and call centre booking available) c/o: https://t.co/ujWWhpzO3i #sk #sask #GetVaccinatedSK (04/28 04:01 PM CST)","2021-04-28 22:01 +0000","376.0","10.0","0.026595744680851064","0.0","0.0","0.0","3.0","2.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387496657663627265","https://twitter.com/saskvaccine/status/1387496657663627265","Still lots of ⏰ left on this poll, but it looks like the writing is on the wall! Less is more.

Going to slow down to one tweet per day, but also any time I detect a change.

I'll re-visit the 📊 again tomorrow morn, in case results change.

Thanks for all the feedback! 🙏","2021-04-28 19:59 +0000","361.0","11.0","0.030470914127423823","0.0","0.0","3.0","5.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387488046057066497","https://twitter.com/saskvaccine/status/1387488046057066497","Currently Booking: Residents 42 years and older (born on this day in 1979 or earlier) provincially (online and call centre booking available) c/o: https://t.co/ujWWhpzO3i #sk #sask #GetVaccinatedSK (04/28 01:24 PM CST)","2021-04-28 19:25 +0000","310.0","8.0","0.025806451612903226","0.0","0.0","0.0","4.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387472942250938368","https://twitter.com/saskvaccine/status/1387472942250938368","Currently Booking: Residents 42 years and older (born on this day in 1979 or earlier) provincially (online and call centre booking available) c/o: https://t.co/ujWWhpzO3i #sk #sask #GetVaccinatedSK (04/28 12:24 PM CST)","2021-04-28 18:25 +0000","409.0","7.0","0.017114914425427872","0.0","0.0","2.0","4.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387457838520279044","https://twitter.com/saskvaccine/status/1387457838520279044","Currently Booking: Residents 42 years and older (born on this day in 1979 or earlier) provincially (online and call centre booking available) c/o: https://t.co/ujWWhpzO3i #sk #sask #GetVaccinatedSK (04/28 11:24 AM CST)","2021-04-28 17:25 +0000","306.0","6.0","0.0196078431372549","0.0","0.0","0.0","5.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387442734806364163","https://twitter.com/saskvaccine/status/1387442734806364163","Currently Booking: Residents 42 years and older (born on this day in 1979 or earlier) provincially (online and call centre booking available) c/o: https://t.co/ujWWhpzO3i #sk #sask #GetVaccinatedSK (04/28 10:24 AM CST)","2021-04-28 16:25 +0000","323.0","6.0","0.018575851393188854","0.0","0.0","2.0","3.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387415327382802440","https://twitter.com/saskvaccine/status/1387415327382802440","Thanks for all the follows! ❤️ 

Quick poll; how often would you like me to tweet? 

#StickItToCOVID #SK #COVID19SK #GetVaccinatedSK","2021-04-28 14:36 +0000","1450.0","128.0","0.08827586206896551","3.0","2.0","4.0","42.0","0.0","0.0","42.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387409285114564612","https://twitter.com/saskvaccine/status/1387409285114564612","Currently Booking: Citizens 42 years and older (born on this day in 1979 or earlier) provincially (online and call centre booking available) c/o: https://t.co/ujWWhpzO3i #sk #sask #GetVaccinatedSK (04/28 08:12 AM CST)","2021-04-28 14:12 +0000","899.0","21.0","0.02335928809788654","4.0","0.0","1.0","7.0","0.0","0.0","9.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387400901027975170","https://twitter.com/saskvaccine/status/1387400901027975170","Currently Booking: Citizens 44 years and older (born on this day in 1977 or earlier) provincially (online and call centre booking available) c/o: https://t.co/ujWWhpzO3i #sk #sask #GetVaccinatedSK (04/28 07:38 AM CST)","2021-04-28 13:38 +0000","262.0","1.0","0.003816793893129771","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387391430826467329","https://twitter.com/saskvaccine/status/1387391430826467329","Currently Booking: Citizens 44 years and older (born on this day in 1977 or earlier) provincially (online and call centre booking available) c/o: https://t.co/ujWWhpzO3i #sk #sask #GetVaccinatedSK (04/28 07:01 AM CST)","2021-04-28 13:01 +0000","267.0","4.0","0.0149812734082397","0.0","0.0","0.0","1.0","1.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387381868136308743","https://twitter.com/saskvaccine/status/1387381868136308743","Currently Booking: Citizens 44 years and older (born on this day in 1977 or earlier) provincially (online and call centre booking available) c/o: https://t.co/ujWWhpzO3i #sk #sask #GetVaccinatedSK (04/28 06:23 AM CST)","2021-04-28 12:23 +0000","237.0","2.0","0.008438818565400843","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387369209953329152","https://twitter.com/saskvaccine/status/1387369209953329152","Currently Booking: Citizens 44 years and older (born on this day in 1977 or earlier) provincially (online and call centre booking available) c/o: https://t.co/ujWWhpzO3i #sk #sask #GetVaccinatedSK (04/28 05:32 AM CST)","2021-04-28 11:32 +0000","213.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
